uuid,name,url,system
LogOutButton@kyle.aims.ac.za,Log Out Button,https://gitlab.com/paddatrapper/log-out-button-gnome-extension,false
ShellTile@emasab.it,ShellTile,https://bitbucket.org/emasab/shelltile,false
TopIcons@phocean.net,TopIcons Plus,https://github.com/phocean/TopIcons-plus,true
alternate-tab@gnome-shell-extensions.gcampax.github.com,AlternateTab,http://git.gnome.org/gnome-shell-extensions,true
background-logo@fedorahosted.org,Background Logo,https://git.fedorahosted.org/git/background-logo-extension.git,true
drop-down-terminal@gs-extensions.zzrough.org,Drop Down Terminal,https://github.com/zzrough/gs-extensions-drop-down-terminal,false
shell-volume-mixer@derhofbauer.at,Volume Mixer,https://github.com/aleho/gnome-shell-volume-mixer,false
topIcons@adel.gadllah@gmail.com,TopIcons,http://94.247.144.115/repo/topicons/,false
user-theme@gnome-shell-extensions.gcampax.github.com,User Themes,http://git.gnome.org/gnome-shell-extensions,true
taskwhisperer-extension@infinicode.de,TaskWhisperer,https://github.com/cinatic/taskwhisperer,false
